2016-09-23 17:25:17 startup archives install
2016-09-23 17:25:17 install base-passwd:amd64 <none> 3.5.37
2016-09-23 17:25:17 status half-installed base-passwd:amd64 3.5.37
2016-09-23 17:25:17 status unpacked base-passwd:amd64 3.5.37
2016-09-23 17:25:17 status unpacked base-passwd:amd64 3.5.37
2016-09-23 17:25:17 configure base-passwd:amd64 3.5.37 3.5.37
2016-09-23 17:25:17 status unpacked base-passwd:amd64 3.5.37
2016-09-23 17:25:17 status half-configured base-passwd:amd64 3.5.37
2016-09-23 17:25:17 status installed base-passwd:amd64 3.5.37
2016-09-23 17:25:17 startup archives install
2016-09-23 17:25:17 install base-files:amd64 <none> 8+deb8u6
2016-09-23 17:25:17 status half-installed base-files:amd64 8+deb8u6
2016-09-23 17:25:17 status unpacked base-files:amd64 8+deb8u6
2016-09-23 17:25:17 status unpacked base-files:amd64 8+deb8u6
2016-09-23 17:25:17 configure base-files:amd64 8+deb8u6 8+deb8u6
2016-09-23 17:25:17 status unpacked base-files:amd64 8+deb8u6
2016-09-23 17:25:17 status unpacked base-files:amd64 8+deb8u6
2016-09-23 17:25:17 status unpacked base-files:amd64 8+deb8u6
2016-09-23 17:25:17 status unpacked base-files:amd64 8+deb8u6
2016-09-23 17:25:17 status unpacked base-files:amd64 8+deb8u6
2016-09-23 17:25:17 status unpacked base-files:amd64 8+deb8u6
2016-09-23 17:25:18 status half-configured base-files:amd64 8+deb8u6
2016-09-23 17:25:18 status installed base-files:amd64 8+deb8u6
2016-09-23 17:25:18 startup archives install
2016-09-23 17:25:18 upgrade dpkg 1.17.27 1.17.27
2016-09-23 17:25:18 status half-configured dpkg 1.17.27
2016-09-23 17:25:18 status unpacked dpkg 1.17.27
2016-09-23 17:25:18 status half-installed dpkg 1.17.27
2016-09-23 17:25:18 status half-installed dpkg 1.17.27
2016-09-23 17:25:18 status unpacked dpkg 1.17.27
2016-09-23 17:25:18 status unpacked dpkg 1.17.27
2016-09-23 17:25:18 configure dpkg 1.17.27 1.17.27
2016-09-23 17:25:18 status unpacked dpkg 1.17.27
